age,Ethnicity..Simplified.,Highest.education.level.completed,Household.Income..GBP.,Political.Party.Affiliation.UK,Sex,ideo,nfcog_1,nfcog_2,nfcog_3,nfcog_4,nfcog_5,nfcog_6,seri_you_1,covid_consp_1,covid_consp_2,covid_consp_3,pb_1,pb_2,pb_3,pb_4,pb_5,pb_6,panic_b
55,White,Doctorate degree (PhD/other),"£30,000 - £39,999",Conservative,Male,9,4,5,1,2,5,5,1,1,1,1,1,2,1,1,1,1,1
24,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",,Female,2,4,4,1,2,4,4,2,1,1,1,2,1,1,2,1,1,1
41,Asian,Undergraduate degree (BA/BSc/other),"£50,000 - £59,999",Not applicable / rather not say,Male,9,2,2,4,4,2,2,1,4,4,1,4,2,1,1,1,1,3
28,White,Undergraduate degree (BA/BSc/other),Rather not say,Green Party,Male,2,3,3,2,2,3,4,3,1,1,1,2,2,1,3,3,2,2
44,White,Secondary education (e.g. GED/GCSE),"Less than £10,000 ",Not applicable / rather not say,Female,7,5,4,4,3,4,3,1,7,7,7,1,1,1,1,1,1,1
44,White,Undergraduate degree (BA/BSc/other),"£90,000 - £99,999",Labour,Male,5,4,4,1,2,4,4,1,1,1,1,1,1,1,2,1,1,1
39,White,Undergraduate degree (BA/BSc/other),,Conservative,Female,6,4,4,2,2,4,4,4,1,1,1,1,1,1,3,1,1,1
41,White,Undergraduate degree (BA/BSc/other),,Conservative,Female,8,2,4,3,4,2,3,5,5,5,4,2,1,1,1,1,1,1
33,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Green Party,Female,2,2,1,4,4,3,2,1,1,1,1,2,1,1,1,1,2,2
52,White,Technical/community college,"£30,000 - £39,999",Labour,Female,5,3,4,2,2,5,4,4,3,3,3,2,1,1,1,1,1,1
55,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Conservative,Male,8,4,4,1,2,4,4,1,4,4,2,1,1,1,1,1,1,1
44,White,High school diploma/A-levels,,Labour,Female,6,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1
32,White,Graduate degree (MA/MSc/MPhil/other),,Scottish National Party (SNP),Male,4,4,4,2,2,4,4,2,1,1,1,2,1,1,1,1,1,1
55,White,Doctorate degree (PhD/other),Rather not say,Other,Female,1,4,4,1,1,5,5,2,2,1,1,1,1,1,2,2,1,3
43,White,Undergraduate degree (BA/BSc/other),Rather not say,Liberal Democrats,Female,6,3,2,3,4,3,2,1,1,1,1,3,1,1,3,1,1,1
49,Black,High school diploma/A-levels,,Not applicable / rather not say,Female,6,3,2,4,4,3,2,1,1,1,1,1,1,1,1,2,2,3
55,White,Undergraduate degree (BA/BSc/other),"£60,000 - £69,999",Conservative,Male,8,4,5,2,2,4,4,2,3,2,2,2,3,1,1,4,2,1
45,White,Graduate degree (MA/MSc/MPhil/other),"£90,000 - £99,999",Conservative,Female,7,4,4,2,2,4,4,2,1,1,1,3,3,1,3,3,1,1
53,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Labour,Male,4,4,4,1,2,4,4,2,5,2,2,4,3,1,4,4,1,1
42,White,Undergraduate degree (BA/BSc/other),,UKIP,Male,7,4,4,3,4,4,4,1,4,7,4,4,4,4,4,4,4,1
40,White,Technical/community college,"£16,000 - £19,999",Not applicable / rather not say,Female,6,4,5,1,1,5,5,1,1,1,1,2,2,1,3,3,1,1
54,White,Undergraduate degree (BA/BSc/other),,Green Party,Female,2,4,4,2,2,4,4,1,1,1,1,2,1,1,1,1,1,1
58,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Labour,Male,4,4,5,1,1,4,5,1,2,2,1,1,1,1,1,1,1,1
40,White,Undergraduate degree (BA/BSc/other),,Liberal Democrats,Male,5,2,2,3,4,2,2,2,1,1,1,4,2,1,4,4,4,1
35,White,Graduate degree (MA/MSc/MPhil/other),"£60,000 - £69,999",Liberal Democrats,Female,7,4,4,2,2,3,2,2,1,1,3,1,1,1,2,1,1,1
34,White,Graduate degree (MA/MSc/MPhil/other),"£60,000 - £69,999",Labour,Female,2,4,4,2,4,2,4,3,5,3,3,1,2,1,1,2,2,1
50,White,High school diploma/A-levels,,,Male,1,3,4,2,2,4,4,1,4,4,4,2,1,1,2,2,2,2
36,White,Technical/community college,"£40,000 - £49,999",Labour,Male,6,4,4,2,2,4,4,3,2,2,2,1,1,1,1,1,2,1
40,White,Technical/community college,"£30,000 - £39,999",,Female,6,3,4,2,2,4,2,2,2,2,1,3,2,1,3,3,3,2
87,White,High school diploma/A-levels,"£10,000 - £15,999",Liberal Democrats,Female,5,4,4,2,1,4,5,1,2,2,1,4,2,1,2,2,1,1
59,White,Undergraduate degree (BA/BSc/other),"£16,000 - £19,999",Conservative,Female,7,4,4,2,2,4,4,1,3,1,1,3,2,1,1,1,1,2
63,White,Undergraduate degree (BA/BSc/other),"Less than £10,000 ",,Female,9,4,4,1,1,5,5,3,4,4,3,1,1,1,1,1,1,1
64,White,High school diploma/A-levels,,Other,Female,8,4,4,1,2,4,4,3,5,4,4,1,1,1,1,1,1,1
31,White,Technical/community college,"£10,000 - £15,999",Labour,Female,4,3,3,3,2,3,2,2,3,2,2,3,2,1,3,2,1,2
40,White,No formal qualifications,"£30,000 - £39,999",Not applicable / rather not say,Female,5,4,4,2,1,5,4,3,4,3,2,4,4,1,3,2,1,1
31,White,High school diploma/A-levels,"£30,000 - £39,999",Conservative,Female,9,4,3,2,4,4,3,2,4,2,3,1,1,1,1,2,2,1
29,White,Undergraduate degree (BA/BSc/other),"£16,000 - £19,999",Not applicable / rather not say,Female,5,2,2,4,4,4,3,4,2,2,2,1,1,1,1,1,1,1
29,White,Technical/community college,"£10,000 - £15,999",Green Party,Male,1,3,3,1,1,3,3,7,4,4,4,1,1,1,1,1,1,1
65,White,Technical/community college,,Scottish National Party (SNP),Female,6,2,4,2,2,4,2,1,7,3,2,4,3,1,3,3,1,2
40,White,Undergraduate degree (BA/BSc/other),Rather not say,Green Party,Female,4,3,4,1,2,4,4,1,1,1,1,1,1,1,2,1,1,1
31,Black,Graduate degree (MA/MSc/MPhil/other),"£30,000 - £39,999",Labour,Female,5,4,4,2,3,4,4,5,1,1,1,1,1,1,1,1,1,1
24,White,High school diploma/A-levels,"£70,000 - £79,999",Labour,Male,2,3,4,2,1,4,4,1,1,1,1,1,1,1,1,1,1,1
25,White,No formal qualifications,,Other,Female,6,4,2,2,2,4,4,2,1,1,1,2,1,1,2,2,2,1
41,White,Graduate degree (MA/MSc/MPhil/other),"£60,000 - £69,999",Labour,Male,4,2,4,1,2,3,4,1,1,1,1,3,1,1,3,3,1,1
36,White,Secondary education (e.g. GED/GCSE),"£16,000 - £19,999",Conservative,Female,8,2,3,3,5,3,3,6,3,1,2,1,1,1,1,1,1,1
50,White,Undergraduate degree (BA/BSc/other),"£40,000 - £49,999",Conservative,Female,10,4,4,2,2,4,4,2,5,4,2,2,3,1,2,2,1,1
43,White,Technical/community college,"£30,000 - £39,999",Labour,Male,6,4,4,2,1,4,5,2,5,4,2,2,1,1,2,1,1,1
63,White,Graduate degree (MA/MSc/MPhil/other),"£40,000 - £49,999",Liberal Democrats,Female,5,4,4,2,1,5,5,1,1,1,1,2,1,1,2,2,1,1
49,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Labour,Male,4,4,4,1,2,5,5,2,1,1,1,2,1,1,1,1,1,1
35,White,Secondary education (e.g. GED/GCSE),"£30,000 - £39,999",Conservative,Male,8,1,2,4,4,2,2,5,1,1,1,2,3,1,3,2,1,1
61,White,High school diploma/A-levels,"£10,000 - £15,999",Conservative,Female,7,2,3,3,2,4,3,2,4,4,4,1,1,1,1,1,1,1
53,White,Graduate degree (MA/MSc/MPhil/other),"£40,000 - £49,999",Labour,Female,4,4,4,2,3,3,3,1,2,1,2,3,2,1,3,1,1,2
49,White,High school diploma/A-levels,Rather not say,Liberal Democrats,Male,6,3,2,2,2,3,3,3,2,2,2,1,1,1,1,1,1,1
49,White,High school diploma/A-levels,Rather not say,Liberal Democrats,Male,6,3,4,2,3,4,3,2,2,2,2,1,1,1,1,1,1,1
49,White,High school diploma/A-levels,,Liberal Democrats,Male,6,3,2,2,2,3,3,3,2,2,2,1,1,1,1,1,1,1
49,White,High school diploma/A-levels,,Liberal Democrats,Male,6,3,4,2,3,4,3,2,2,2,2,1,1,1,1,1,1,1
48,CONSENT REVOKED,CONSENT REVOKED,,CONSENT REVOKED,CONSENT REVOKED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Green Party,Female,4,4,4,2,2,5,4,1,1,1,1,3,1,1,3,3,1,2
65,White,Secondary education (e.g. GED/GCSE),"£100,000 - £149,999",Liberal Democrats,Female,5,2,2,4,5,1,2,1,4,4,1,4,1,1,4,3,2,2
55,White,Technical/community college,"£20,000 - £29,999",Liberal Democrats,Male,4,4,4,2,2,5,4,2,1,1,1,3,3,1,2,1,1,1
38,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Labour,Female,7,3,4,2,3,4,4,1,2,1,1,2,1,1,1,1,1,1
32,White,Graduate degree (MA/MSc/MPhil/other),,Labour,Female,1,4,2,3,3,4,3,1,5,5,5,3,3,1,3,3,1,2
50,White,Technical/community college,,Conservative,Male,9,2,2,4,2,3,3,3,1,1,1,2,1,1,1,1,1,1
42,Black,Graduate degree (MA/MSc/MPhil/other),,Not applicable / rather not say,Female,6,3,3,3,2,4,4,1,1,1,1,1,1,1,1,1,1,1
43,White,Graduate degree (MA/MSc/MPhil/other),,Conservative,Male,9,2,2,3,4,1,3,3,1,1,1,1,1,1,1,1,1,1
34,White,Graduate degree (MA/MSc/MPhil/other),Rather not say,Conservative,Female,7,4,4,1,2,4,4,3,1,1,1,2,1,1,1,1,1,1
57,White,Undergraduate degree (BA/BSc/other),,Liberal Democrats,Female,7,4,4,1,1,5,5,2,1,1,1,3,1,1,3,2,1,1
37,White,Undergraduate degree (BA/BSc/other),"Less than £10,000 ",Liberal Democrats,Male,5,2,3,3,3,4,3,1,1,1,1,3,3,1,2,3,2,1
39,White,Secondary education (e.g. GED/GCSE),"£10,000 - £15,999",Labour,Female,7,2,2,4,4,2,2,1,2,2,2,2,1,1,2,2,1,2
38,White,Undergraduate degree (BA/BSc/other),"Less than £10,000 ",Scottish National Party (SNP),Male,1,4,4,2,2,5,4,1,1,1,1,1,1,1,1,1,1,1
34,White,Secondary education (e.g. GED/GCSE),"£20,000 - £29,999",Labour,Male,6,3,2,3,2,4,3,3,6,5,5,1,1,5,1,1,1,1
60,White,Secondary education (e.g. GED/GCSE),"£20,000 - £29,999",Other,Female,7,2,2,4,4,2,2,2,5,2,1,1,1,1,1,1,1,1
29,White,High school diploma/A-levels,"£20,000 - £29,999",Liberal Democrats,Male,4,2,3,2,3,2,4,3,1,1,1,3,1,1,2,2,1,2
50,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Labour,Female,4,3,3,2,2,4,2,2,2,2,2,4,3,1,3,3,3,2
37,Asian,Undergraduate degree (BA/BSc/other),,Labour,Female,5,2,2,4,3,2,2,3,1,1,1,1,1,1,1,1,1,1
27,White,High school diploma/A-levels,"£40,000 - £49,999",Conservative,Female,6,4,4,2,2,5,5,1,7,7,1,1,1,1,1,1,1,1
53,White,Undergraduate degree (BA/BSc/other),"£16,000 - £19,999",Not applicable / rather not say,Female,4,4,5,1,1,5,2,1,3,5,5,2,3,1,1,1,1,1
46,White,Technical/community college,"£80,000 - £89,999",Labour,Male,2,4,4,2,2,5,5,1,1,1,1,2,1,1,1,2,1,1
49,White,High school diploma/A-levels,"£40,000 - £49,999",Labour,Female,5,3,2,3,2,3,3,2,2,2,3,2,1,1,2,1,1,1
63,White,Graduate degree (MA/MSc/MPhil/other),"£50,000 - £59,999",Conservative,Female,9,4,4,2,2,4,4,1,1,1,1,1,1,1,1,1,3,1
38,White,Undergraduate degree (BA/BSc/other),"£16,000 - £19,999",Other,Male,11,4,5,1,1,5,4,1,1,5,1,3,2,1,4,3,1,2
33,White,Secondary education (e.g. GED/GCSE),"£30,000 - £39,999",Green Party,Female,5,2,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1
42,White,Secondary education (e.g. GED/GCSE),"£20,000 - £29,999",,Female,7,2,4,2,2,4,4,1,4,4,4,1,1,1,1,1,1,1
60,White,Secondary education (e.g. GED/GCSE),"£40,000 - £49,999",Conservative,Female,9,4,4,2,4,4,4,1,4,1,1,2,1,1,3,2,1,2
47,White,Technical/community college,,Conservative,Female,8,2,1,4,4,2,2,2,3,2,1,4,3,1,1,1,1,2
63,White,Graduate degree (MA/MSc/MPhil/other),"£30,000 - £39,999",Labour,Female,2,4,5,1,1,5,5,1,1,1,1,1,1,1,1,1,2,1
60,White,Technical/community college,Rather not say,Not applicable / rather not say,Female,7,2,2,3,4,3,2,3,3,2,1,3,2,1,4,3,1,2
53,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Labour,Male,1,4,4,1,2,4,4,3,1,1,1,1,1,1,1,1,1,1
49,White,High school diploma/A-levels,"£30,000 - £39,999",Other,Male,9,2,4,3,2,5,4,3,1,1,1,1,1,1,1,1,1,1
29,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Liberal Democrats,Female,7,3,4,1,1,4,4,2,1,1,1,3,3,1,3,3,1,1
53,White,High school diploma/A-levels,,Labour,Female,1,2,4,2,1,4,3,1,1,2,4,4,2,1,4,3,1,3
36,White,Undergraduate degree (BA/BSc/other),,Liberal Democrats,Male,4,4,4,2,2,4,4,5,1,1,1,1,1,1,1,1,1,1
36,White,High school diploma/A-levels,"£20,000 - £29,999",Labour,Female,7,4,4,4,2,4,4,3,6,4,4,2,2,1,2,2,2,1
40,White,Technical/community college,,Green Party,Female,5,2,4,2,2,4,3,2,4,4,4,2,2,1,2,2,2,1
59,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Labour,Male,5,4,4,2,2,4,4,2,2,1,1,2,1,1,2,1,1,1
54,White,Secondary education (e.g. GED/GCSE),Rather not say,Labour,Female,6,2,4,3,2,2,2,1,4,1,4,2,1,1,1,1,1,2
26,White,Undergraduate degree (BA/BSc/other),"£16,000 - £19,999",Conservative,Male,10,3,4,2,2,4,5,5,1,1,1,1,1,1,1,1,1,1
28,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Conservative,Female,6,4,4,2,2,4,4,1,7,2,1,2,1,1,1,1,1,1
54,White,Undergraduate degree (BA/BSc/other),"£90,000 - £99,999",Liberal Democrats,Female,6,3,2,3,3,3,3,2,3,4,4,3,2,1,3,3,1,2
41,White,High school diploma/A-levels,"£20,000 - £29,999",Labour,Male,4,4,4,1,2,4,4,1,1,1,1,3,1,1,2,1,1,1
37,White,Undergraduate degree (BA/BSc/other),"£40,000 - £49,999",Green Party,Male,6,4,4,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1
60,White,Technical/community college,"£16,000 - £19,999",Conservative,Female,6,2,3,4,4,2,3,1,4,6,5,2,2,1,3,4,1,2
61,White,Secondary education (e.g. GED/GCSE),"£40,000 - £49,999",Liberal Democrats,Female,6,2,3,2,2,3,2,3,1,1,1,1,2,1,1,1,1,1
28,White,High school diploma/A-levels,"Less than £10,000 ",Labour,Male,6,2,2,4,4,2,2,5,5,6,2,1,1,1,1,1,1,1
30,White,Secondary education (e.g. GED/GCSE),,Not applicable / rather not say,Female,7,4,4,2,4,4,4,1,2,2,2,1,1,1,1,1,1,1
42,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Labour,Female,2,2,2,1,2,5,4,4,5,5,4,3,3,1,2,2,1,2
52,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Liberal Democrats,Male,6,4,4,2,2,4,4,4,1,1,1,3,3,1,1,1,1,2
53,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Labour,Female,2,4,4,2,2,4,4,1,2,2,2,2,1,1,2,1,1,1
33,White,High school diploma/A-levels,,Labour,Female,5,5,4,2,2,5,4,2,1,1,1,2,1,1,1,1,2,1
46,White,Undergraduate degree (BA/BSc/other),"£40,000 - £49,999",Labour,Female,5,4,4,2,2,4,3,2,1,1,4,1,1,1,1,1,1,1
50,White,High school diploma/A-levels,"£40,000 - £49,999",Liberal Democrats,Male,6,4,4,1,2,4,4,2,1,1,1,1,1,1,1,1,3,1
47,White,Undergraduate degree (BA/BSc/other),"£40,000 - £49,999",Green Party,Female,2,3,3,3,2,3,3,1,2,1,1,4,2,1,2,4,1,2
49,White,Technical/community college,,Labour,Female,4,2,4,2,2,4,4,1,5,3,3,4,2,1,3,3,3,1
54,White,Technical/community college,,Labour,Female,4,2,4,2,2,5,3,1,1,2,1,1,1,1,1,1,1,1
40,White,High school diploma/A-levels,"Less than £10,000 ",Green Party,Female,1,5,4,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1
22,White,Undergraduate degree (BA/BSc/other),,Liberal Democrats,Male,4,3,4,2,2,2,4,2,1,1,1,4,1,1,1,3,1,3
42,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Scottish National Party (SNP),Male,2,4,4,2,2,4,4,4,4,4,4,2,2,2,2,2,2,1
43,White,Graduate degree (MA/MSc/MPhil/other),"£40,000 - £49,999",Labour,Female,4,4,4,1,2,5,5,1,4,3,4,2,2,1,1,1,1,1
39,White,High school diploma/A-levels,,Not applicable / rather not say,Female,6,4,4,2,3,4,4,5,6,6,5,1,1,1,1,1,1,1
26,White,Graduate degree (MA/MSc/MPhil/other),"£70,000 - £79,999",Not applicable / rather not say,Female,5,4,4,1,1,2,5,2,1,1,1,2,1,1,3,3,1,2
40,White,Graduate degree (MA/MSc/MPhil/other),"£16,000 - £19,999",Not applicable / rather not say,Female,6,4,3,2,1,1,1,3,4,4,4,1,1,1,1,2,1,1
52,White,High school diploma/A-levels,Rather not say,Not applicable / rather not say,Female,9,2,3,4,3,2,2,1,6,6,2,3,2,1,2,2,1,2
64,White,Graduate degree (MA/MSc/MPhil/other),"£30,000 - £39,999",Labour,Female,5,4,4,1,2,5,3,1,2,2,3,2,3,1,2,2,1,1
39,White,Undergraduate degree (BA/BSc/other),"£50,000 - £59,999",Liberal Democrats,Female,8,4,4,2,1,4,4,1,2,1,1,2,2,1,3,3,1,2
34,White,High school diploma/A-levels,,Scottish National Party (SNP),Female,4,1,2,2,3,3,3,2,4,4,4,1,1,1,1,1,1,1
40,White,High school diploma/A-levels,"£30,000 - £39,999",Liberal Democrats,Female,6,4,4,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1
51,White,Secondary education (e.g. GED/GCSE),"£10,000 - £15,999",Not applicable / rather not say,Female,7,1,1,2,1,3,1,1,2,4,6,4,3,1,5,5,1,2
58,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Other,Female,8,3,4,2,4,2,3,2,2,3,2,1,1,1,1,2,1,1
48,White,Secondary education (e.g. GED/GCSE),"£20,000 - £29,999",UKIP,Male,8,4,4,2,2,4,4,1,5,5,1,3,1,1,3,2,1,1
41,White,Graduate degree (MA/MSc/MPhil/other),"£30,000 - £39,999",Labour,Female,9,4,5,1,1,5,5,1,2,2,2,2,1,1,1,1,1,1
32,White,Secondary education (e.g. GED/GCSE),,Labour,Male,5,1,1,5,4,1,3,1,1,1,1,1,1,1,1,1,1,1
38,White,High school diploma/A-levels,"£30,000 - £39,999",Labour,Female,5,4,4,2,2,4,2,2,5,3,4,1,1,1,1,1,1,1
67,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Labour,Female,4,2,4,2,2,3,2,1,4,1,4,3,1,1,1,1,3,2
30,White,Undergraduate degree (BA/BSc/other),,Labour,Male,1,3,4,2,2,4,5,3,1,2,1,2,2,1,1,1,1,2
27,Mixed,High school diploma/A-levels,"£30,000 - £39,999",Not applicable / rather not say,Female,4,4,4,2,2,2,4,2,1,1,1,2,2,1,2,1,1,1
56,White,Graduate degree (MA/MSc/MPhil/other),"£100,000 - £149,999",Labour,Female,5,4,4,1,1,5,4,2,1,1,1,5,1,1,1,1,1,1
57,White,High school diploma/A-levels,,Green Party,Female,4,4,3,2,2,4,4,2,4,3,2,1,2,1,1,1,1,1
53,White,Undergraduate degree (BA/BSc/other),,Labour,Male,6,3,4,3,2,4,4,1,1,1,1,1,1,1,1,1,1,1
40,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Conservative,Female,9,5,5,1,5,5,1,1,4,4,4,2,2,1,3,4,2,2
35,White,High school diploma/A-levels,"£10,000 - £15,999",Labour,Female,7,3,4,2,2,4,2,5,4,3,4,1,2,1,1,1,1,1
26,White,Secondary education (e.g. GED/GCSE),"Less than £10,000 ",,Female,1,4,4,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1
64,White,High school diploma/A-levels,"£80,000 - £89,999",Conservative,Female,11,5,4,1,1,5,5,1,1,1,1,2,1,1,2,1,1,3
39,White,Technical/community college,"£20,000 - £29,999",Labour,Female,6,4,2,4,4,4,3,2,2,2,1,4,2,1,3,2,1,2
59,White,High school diploma/A-levels,"£20,000 - £29,999",Scottish National Party (SNP),Male,5,4,4,1,4,5,4,1,1,1,1,1,1,1,1,1,1,1
43,White,Secondary education (e.g. GED/GCSE),"£16,000 - £19,999",Labour,Female,5,2,2,3,3,2,2,3,3,2,3,1,1,1,1,1,2,1
65,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Liberal Democrats,Female,5,3,3,2,2,1,2,1,1,1,1,3,3,1,3,3,1,1
69,White,Secondary education (e.g. GED/GCSE),"Less than £10,000 ",Labour,Female,4,2,3,4,2,3,2,1,1,1,1,1,1,1,2,1,1,1
34,White,Undergraduate degree (BA/BSc/other),"£60,000 - £69,999",Labour,Female,7,3,2,2,2,4,3,4,4,4,4,1,1,1,1,1,1,1
40,White,Secondary education (e.g. GED/GCSE),"£20,000 - £29,999",Labour,Female,11,5,1,4,5,1,3,2,2,3,3,2,1,1,1,2,1,2
41,Asian,Undergraduate degree (BA/BSc/other),,Labour,Male,2,1,2,4,5,2,1,1,2,3,3,4,2,1,2,2,1,2
35,White,High school diploma/A-levels,"£30,000 - £39,999",Not applicable / rather not say,Female,7,4,4,2,2,4,2,1,4,4,4,3,3,1,3,3,1,2
29,White,Secondary education (e.g. GED/GCSE),"£40,000 - £49,999",Not applicable / rather not say,Female,7,5,5,2,2,5,2,3,4,1,4,1,1,1,1,1,1,1
61,White,Undergraduate degree (BA/BSc/other),"Less than £10,000 ",Labour,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,White,Secondary education (e.g. GED/GCSE),"£10,000 - £15,999",Other,Female,6,3,3,2,4,4,3,1,2,1,1,1,1,1,2,1,2,1
64,White,Undergraduate degree (BA/BSc/other),"£50,000 - £59,999",Liberal Democrats,Male,6,4,4,1,1,5,5,2,1,1,1,1,1,1,1,1,1,1
73,White,High school diploma/A-levels,"£20,000 - £29,999",Liberal Democrats,Female,7,5,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1
55,White,Secondary education (e.g. GED/GCSE),"£40,000 - £49,999",UKIP,Male,11,4,4,3,4,4,4,3,7,6,2,3,3,1,4,3,1,2
63,White,Secondary education (e.g. GED/GCSE),"£10,000 - £15,999",UKIP,Female,8,2,2,3,3,4,4,4,5,5,3,1,1,1,1,1,1,1
53,White,Technical/community college,"£30,000 - £39,999",,Female,6,4,4,2,2,4,3,1,4,3,2,3,1,1,2,1,1,2
59,White,Graduate degree (MA/MSc/MPhil/other),,Conservative,Female,9,2,1,4,4,2,2,2,1,1,1,4,2,1,4,2,1,3
54,White,Undergraduate degree (BA/BSc/other),"£16,000 - £19,999",Labour,Male,4,4,4,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1
33,White,Undergraduate degree (BA/BSc/other),Rather not say,Scottish National Party (SNP),Female,2,3,4,2,2,4,4,2,1,1,1,1,1,1,1,1,1,1
63,White,Technical/community college,Rather not say,Conservative,Male,5,4,4,2,3,4,4,1,3,1,1,3,1,1,1,1,3,1
75,White,High school diploma/A-levels,"£10,000 - £15,999",Conservative,Female,8,4,4,2,2,4,4,5,4,4,3,4,3,1,4,3,3,1
57,White,Secondary education (e.g. GED/GCSE),"£16,000 - £19,999",Conservative,Female,9,2,3,2,2,4,4,6,4,5,4,3,3,1,3,3,2,1
28,White,High school diploma/A-levels,"£40,000 - £49,999",Labour,Female,4,3,2,1,2,4,3,1,3,4,2,3,1,2,1,1,1,1
20,White,High school diploma/A-levels,"£16,000 - £19,999",Labour,Female,1,4,3,1,2,4,4,2,1,1,1,2,3,1,2,3,1,1
55,White,Graduate degree (MA/MSc/MPhil/other),"£50,000 - £59,999",Scottish National Party (SNP),Female,2,4,4,1,2,5,4,2,1,1,1,1,1,1,1,1,1,1
70,White,Undergraduate degree (BA/BSc/other),"£10,000 - £15,999",Conservative,Female,9,4,4,2,2,4,4,1,2,1,1,3,2,1,2,2,1,1
36,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Conservative,Female,10,2,4,4,4,5,4,1,2,1,1,4,4,1,4,4,1,2
50,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Green Party,Female,8,3,4,2,2,4,4,1,4,4,4,1,1,1,2,1,1,1
41,White,Undergraduate degree (BA/BSc/other),,Labour,Female,5,3,3,2,3,4,4,1,1,1,1,2,2,1,2,1,1,1
55,White,Technical/community college,"£60,000 - £69,999",Labour,Male,4,4,4,2,4,4,4,2,1,1,1,1,1,1,1,1,1,1
43,White,Technical/community college,,Labour,Female,6,2,4,2,1,5,4,1,4,3,3,2,1,1,1,1,1,1
47,White,Undergraduate degree (BA/BSc/other),"£100,000 - £149,999",Labour,Male,4,5,5,1,2,5,5,4,4,5,5,3,2,1,3,3,1,2
27,White,Technical/community college,"£20,000 - £29,999",Labour,Female,1,2,4,4,4,2,3,1,6,4,5,2,2,2,3,4,2,2
39,Asian,Undergraduate degree (BA/BSc/other),Rather not say,Labour,Female,6,2,2,3,2,4,4,2,5,6,6,4,2,1,3,2,1,3
43,White,Undergraduate degree (BA/BSc/other),Rather not say,Labour,Female,7,3,3,2,3,4,3,3,5,5,4,4,2,1,4,3,3,2
24,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Labour,Male,5,2,2,4,3,2,2,3,1,1,1,2,1,1,2,2,1,3
41,White,Undergraduate degree (BA/BSc/other),"£40,000 - £49,999",Labour,Female,4,4,2,2,2,4,4,2,1,1,1,4,4,1,4,2,1,2
23,White,Graduate degree (MA/MSc/MPhil/other),"£30,000 - £39,999",Labour,Female,5,4,4,2,2,4,3,3,7,5,6,1,1,1,1,1,1,1
54,White,Undergraduate degree (BA/BSc/other),,Conservative,Female,7,4,3,2,4,4,3,6,5,5,5,3,2,1,2,2,1,1
59,White,Secondary education (e.g. GED/GCSE),"£20,000 - £29,999",Labour,Male,5,4,4,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1
32,White,Undergraduate degree (BA/BSc/other),,Other,Male,9,5,4,3,3,5,3,2,6,3,1,5,3,1,4,4,1,1
33,White,Graduate degree (MA/MSc/MPhil/other),,Labour,Female,2,4,4,3,3,4,3,1,1,1,1,3,2,1,1,1,1,2
52,White,Undergraduate degree (BA/BSc/other),"£70,000 - £79,999",Other,Female,9,3,4,3,3,4,4,1,6,6,1,3,3,1,3,1,1,2
61,White,Undergraduate degree (BA/BSc/other),"£100,000 - £149,999",Labour,Female,4,4,4,1,2,4,4,1,1,1,1,1,1,1,1,1,1,1
