Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,consent,prolificid,ubinormal_1,ubipandem_1,shirking_1,shirking_2,shirking_3,unfairrich_1,unfairrich_2,unfairrich_3,unfairdesert_1,unfairdesert_2,unfairdesert_3,irrespnsibility_1,irrespnsibility_2,irrespnsibility_3,value_1,value_2,value_3,efficiency_1,efficiency_2,efficiency_3,expense_1,expense_2,expense_3,stress_1,stress_2,stress_3,cheat_1,cheat_2,cheat_3,personalshirking_1,personaldesert_1,personalirrespon_1,personalvalue_1,personalstress_1,sec4_1,sec4_2,sec4_3,age,gender,country,country_3_TEXT,ladder_1,ladder_2,ladder_3,ladder_4,ladder_5,ladder_6,ladder_7,ladder_8,ladder_9,ladder_10,leftright_1,affected_1
198,07/04/2020 10:21,R_3rTxcgxJkS9iQxk,52.65620422,1.327697754,"I consent, begin the study",5c27fdce47ec3c00012d6523,65,67,74,75,75,85,86,85,50,62,67,61,60,61,97,86,91,93,93,95,100,4,73,86,19,89,86,92,90,19,26,0,95,90,58,85,83,34,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,50,70
486,07/04/2020 10:21,R_1oe8Mz52ojF7BMZ,50.75999451,-3.468002319,"I consent, begin the study",5aec14bc4a52e5000167c671,32,82,81,82,10,81,82,83,62,82,10,73,76,10,84,50,86,72,64,92,93,94,95,73,67,92,91,74,74,81,70,2,28,59,29,97,66,43,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,60,71
208,07/04/2020 10:21,R_2WvxxIZ8OI1JKAn,53.38310242,-1.460098267,"I consent, begin the study",55897abbfdf99b7ae5007548,75,100,10,10,10,8,8,13,10,10,10,50,50,50,100,100,100,95,75,100,50,50,50,100,100,100,50,50,50,0,0,0,100,90,75,75,25,25,Male,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,50,50
189,07/04/2020 10:21,R_3GpRbSpv5TcVzIa,52.39860535,-1.982406616,"I consent, begin the study",550b272afdf99b3946e13443,100,100,82,83,81,50,9,38,81,81,82,77,77,77,76,46,71,93,57,93,92,92,91,82,52,94,17,16,15,6,100,0,39,50,19,100,84,37,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,50,20
445,07/04/2020 10:22,R_UmgZ4z2BTMgDXTH,53.74819946,-1.371994019,"I consent, begin the study",5cbb6508538b2d0012346403,78,100,100,54,93,58,57,100,55,71,92,81,54,78,5,63,100,62,83,100,100,53,100,56,80,100,53,61,65,34,90,0,41,63,0,3,0,36,Female,UK,,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,53,19
468,07/04/2020 10:22,R_6z2dUUGdDB6f4fT,53.46989441,-2.998092651,"I consent, begin the study",5d9a0c53fea10e02883a8d7c,100,100,60,65,67,100,100,100,4,10,15,100,19,20,55,55,100,81,81,81,100,67,100,100,100,100,49,51,47,0,31,0,43,84,0,100,17,47,Male,UK,,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,49,21
451,07/04/2020 10:22,R_1jV3uzFBfcAZpKb,53.85429382,-1.916503906,"I consent, begin the study",5bc35acbe5fc0200012ab7c1,80,80,15,70,0,75,75,25,50,75,0,60,70,90,100,100,100,50,50,75,80,60,40,100,100,100,25,100,50,0,0,0,60,80,30,30,50,22,Male,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,50,55
224,07/04/2020 10:22,R_3elviF53QdgjXu9,55.80499268,-4.289901733,"I consent, begin the study",54ccba21fdf99b3a77125753,63,86,35,35,27,64,66,64,34,34,30,22,24,15,68,69,68,67,70,71,89,80,99,75,76,78,79,88,90,22,25,0,86,76,0,100,100,27,Female,UK,,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,17,72
377,07/04/2020 10:22,R_D96eGlpSkR7urO9,52.89399719,-1.423599243,"I consent, begin the study",5d0103b6f4644700018b2e0d,61,82,29,60,80,40,62,82,29,61,83,59,62,82,81,61,81,70,65,79,60,62,78,81,60,81,19,61,81,0,29,0,39,60,76,92,60,43,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,45,65
220,07/04/2020 10:22,R_3PFZiY2Vvawbk4S,51.33050537,-0.267807007,"I consent, begin the study",5d80ec30bc8a3b00013187e9,90,100,0,0,11,70,70,70,20,30,0,60,50,5,81,80,91,80,81,100,70,51,86,80,75,100,29,68,12,0,0,0,19,85,60,75,86,24,Male,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,28,14
235,07/04/2020 10:23,R_yIKorGSMDZxbqhj,53.08059692,-2.133102417,"I consent, begin the study",5e7a8697b2a369000adb0e14,80,100,10,5,0,20,30,20,0,0,0,55,20,0,90,80,98,30,60,86,50,40,5,75,90,100,60,0,0,30,0,10,65,80,100,66,10,18,Male,UK,,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,5,65
214,07/04/2020 10:23,R_0Va8oycbu1TwxDH,54.97419739,-1.615005493,"I consent, begin the study",5c601465af8348000112626f,100,100,20,10,0,10,0,0,0,0,0,30,0,0,80,80,100,100,100,100,60,0,0,100,100,100,80,30,40,0,0,0,70,100,0,30,40,22,Female,UK,,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,15,40
300,07/04/2020 10:24,R_1OZvthOHKTWyX9X,52.48170471,-1.786300659,"I consent, begin the study",5dda963d4a113a9ee054101d,85,95,50,80,60,85,90,75,40,70,25,70,60,50,90,70,70,100,80,95,80,70,50,100,80,100,75,90,85,0,20,0,70,50,0,80,90,31,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,20,30
393,07/04/2020 10:24,R_1QbkUvmDkDwYfj4,52.77189636,-1.546295166,"I consent, begin the study",5c3344db21f99c000175c651,100,100,0,100,100,0,100,100,0,100,100,50,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,0,0,0,100,100,0,80,30,28,Male,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,50,70
335,07/04/2020 10:24,R_2afqyytHL3YQrCz,51.42999268,-0.049194336,"I consent, begin the study",5e38664e7d262a07e787e66d,81,93,30,40,3,30,40,10,0,10,0,80,81,40,92,93,100,93,81,100,19,40,22,98,96,100,80,80,70,0,3,0,91,100,2,87,69,18,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,11,14
527,07/04/2020 10:24,R_2PaEX5hzndoekil,53.44999695,-2.783294678,"I consent, begin the study",5d7e0721272975001963a5c6,83,100,10,90,39,100,100,100,0,0,0,16,31,50,100,100,100,83,73,100,40,40,0,71,58,100,60,78,50,0,36,0,75,82,58,0,71,28,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,12,70
676,07/04/2020 10:24,R_2eRuuFSJo8BGuOQ,55.01679993,-1.451004028,"I consent, begin the study",5e77733a2e31442cbf638265,80,100,68,50,0,100,75,26,0,0,0,100,20,0,100,100,100,85,85,100,30,30,0,75,89,100,100,100,100,15,0,1,77,10,63,15,0,53,Male,UK,,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,0,25
366,07/04/2020 10:24,R_3qvzZ4e5rDmUNdr,50.77099609,-0.7447052,"I consent, begin the study",5d1d1bd8336108000158fc75,0,29,100,0,23,100,0,21,100,0,22,50,0,24,0,0,0,100,0,19,100,0,26,100,0,23,50,0,26,0,100,0,0,100,0,100,31,44,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,72,100
604,07/04/2020 10:25,R_1Qgs6CZwBePYUXR,52.86700439,-1.921798706,"I consent, begin the study",5dfb5f29a9955088d6d0e2ac,70,75,30,30,20,60,40,50,20,30,30,65,30,30,70,60,50,60,80,80,50,80,70,60,60,60,30,50,65,30,40,0,70,80,30,25,60,24,Male,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,25,55
239,07/04/2020 10:25,R_3rUIRPMyZpXB56M,55.95100403,-3.19720459,"I consent, begin the study",5cc124108a994500125df560,80,72,65,67,84,58,72,82,66,78,53,82,82,83,70,71,70,80,76,80,100,81,100,75,78,90,75,68,68,39,48,0,70,83,70,54,68,23,Female,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,50,70
276,07/04/2020 10:25,R_3HA1cRxhGYPhH9Z,51.51429749,-0.048202515,"I consent, begin the study",5ba429d68b201600012f6d27,14,34,80,72,16,80,68,57,67,81,70,85,72,16,31,55,50,30,63,81,99,100,68,42,61,75,95,90,43,29,61,1,39,30,79,81,80,27,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,43,58
392,07/04/2020 10:25,R_cYcDrX6lQSSS3AZ,53.13150024,-1.29750061,"I consent, begin the study",5e29889bb3318913a49110f6,62,92,87,90,90,91,50,97,,84,86,,83,82,97,9,97,95,6,100,82,16,83,94,17,93,83,8,97,0,73,0,17,21,22,100,88,61,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,53,64
219,07/04/2020 10:25,R_2cpllxkOn4UtvTS,51.49639893,-0.122406006,"I consent, begin the study",5aeb177930271600014e6141,85,98,64,53,56,66,58,56,24,58,68,79,54,54,44,59,59,77,64,87,32,57,59,81,55,57,76,68,75,16,31,0,35,86,62,96,68,43,Male,UK,,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,39,28
186,07/04/2020 10:25,R_ymRC2KTAaphxmvL,51.54530334,0.135604858,"I consent, begin the study",5d9a,38,30,100,32,36,35,35,38,78,25,38,80,29,38,59,28,41,72,35,39,35,35,40,72,32,50,100,24,100,50,71,63,50,50,100,100,100,32,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,64,62
395,07/04/2020 10:25,R_31vkmVxG4BOu9mm,52.44769287,-2.056900024,"I consent, begin the study",5cb4fafac9ca1c00011d353d,60,40,90,80,21,90,81,31,90,80,80,82,82,38,19,79,79,30,50,50,100,100,100,72,50,50,20,91,47,60,30,0,50,70,72,60,16,31,Female,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,50,81
334,07/04/2020 10:26,R_vDm0GJRMm4gFa2l,53.76629639,-1.569503784,"I consent, begin the study",59526333fd03ae00011b19e9,28,70,81,84,25,100,97,100,21,100,100,84,82,100,100,100,100,100,61,94,100,0,76,92,92,100,73,100,100,0,26,0,82,60,9,23,0,3,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,40,18
572,07/04/2020 10:26,R_8udgcsHxzun5p9n,52.98170471,-2.137695313,"I consent, begin the study",5b561ac10266020001797434,65,90,72,92,56,0,0,45,60,80,50,75,90,90,92,83,83,90,70,90,100,90,30,100,75,90,50,50,50,15,0,0,90,80,30,55,70,21,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,60,75
222,07/04/2020 10:26,R_3GwyLWpimgoQdXM,52.47009277,-2.136993408,"I consent, begin the study",5d62e42406ed5a001a2084f3,14,56,68,73,73,76,78,51,100,99,89,81,100,100,49,26,86,92,88,100,72,74,42,89,70,99,27,89,100,16,65,0,23,50,20,55,70,56,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,78,71
465,07/04/2020 10:26,R_9XkdA6anxzdTeA9,55.86950684,-4.88470459,"I consent, begin the study",5dbc476f3237041ed47b1a39,30,30,100,100,100,100,100,100,100,100,100,100,100,100,0,30,30,0,30,30,100,100,100,100,30,30,0,30,30,100,100,0,0,100,0,100,0,59,Male,UK,,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,80,80
433,07/04/2020 10:26,R_2EABfT9uoHdGaDq,51.39399719,-2.322692871,"I consent, begin the study",simonlsmith1@hotmail.com,81,81,70,69,56,31,87,87,61,72,72,81,70,70,69,41,42,81,70,72,90,58,59,81,81,80,40,81,83,20,0,0,31,18,31,85,70,49,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,19,61
334,07/04/2020 10:27,R_1ptKi4671fgvZiw,51.49639893,-0.122406006,"I consent, begin the study",5d1cf1e47e818d00016af2dc,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,100,100,100,100,100,0,0,0,100,100,100,100,100,38,Male,UK,,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,0,70
287,07/04/2020 10:27,R_1JW19r5m9X7LSWE,52.91419983,-2.805496216,"I consent, begin the study",5b3ccfb12e27d800014a2d82,91,100,31,83,0,10,100,0,0,0,0,100,0,100,100,100,100,100,100,100,100,71,100,100,100,100,28,100,0,0,0,0,100,100,100,70,100,23,Male,UK,,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,19,60
280,07/04/2020 10:27,R_114q9PCCVbuREjD,51.65179443,-0.19329834,"I consent, begin the study",5a341b9b9f2e74000137ec06,15,12,60,56,41,71,62,63,40,40,25,58,50,37,23,27,17,28,31,31,67,57,56,65,63,64,65,51,54,59,59,20,13,60,70,40,25,28,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,68,34
307,07/04/2020 10:27,R_rdKY65oplK6dARj,51.40029907,0.529098511,"I consent, begin the study",5d4b0ce26e25db001865514b,38,76,100,91,54,88,88,56,88,79,74,87,80,93,76,73,73,90,81,91,100,78,24,90,73,95,86,88,75,29,81,2,30,61,70,99,82,30,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,84,77
495,07/04/2020 10:27,R_1rDjTiILmJxcVbK,51.456604,-0.968002319,"I consent, begin the study",59655329a670a10001942540,30,70,87,90,40,20,39,35,82,86,32,95,60,60,88,87,90,75,70,92,85,85,55,58,48,90,85,90,90,80,75,7,85,70,40,60,75,32,Male,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,40,18
217,07/04/2020 10:28,R_2DV7eaN7irtz3TC,51.49639893,-0.122406006,"I consent, begin the study",5e62507bd81344049915cc7e,61,100,41,66,35,100,85,0,1,0,0,87,88,96,100,24,100,84,70,100,72,85,0,100,100,100,100,100,100,51,0,0,100,100,44,100,100,31,Male,UK,,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,45,0
591,07/04/2020 10:28,R_xaZ9DO0Ofz6GM5b,51.86590576,-2.2059021,"I consent, begin the study",5dc93b9a575da16530499583,40,80,80,80,100,80,100,100,50,50,50,50,60,80,30,50,80,100,40,100,100,100,100,100,30,90,20,50,50,30,70,0,80,80,30,100,80,27,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,30,30
377,07/04/2020 10:28,R_XTklHxIRSVpQtOh,50.75190735,-1.870605469,"I consent, begin the study",5d9c7de1524d130014b78acd,4,57,94,91,26,93,12,78,81,51,86,70,20,68,22,24,71,56,19,67,94,18,86,56,18,93,77,16,67,18,55,3,51,74,88,100,100,45,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,49,56
351,07/04/2020 10:28,R_suLDeTGKTnCsFyN,53.90550232,-1.022293091,"I consent, begin the study",5e692a511f156a1e4aa18f70,80,100,50,50,20,80,90,50,0,50,100,50,50,50,70,70,100,100,90,100,70,80,90,90,50,100,90,50,100,0,50,0,100,100,0,80,100,49,Female,UK,,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,50,60
281,07/04/2020 10:28,R_3FQLf5tp742pZnB,51.62350464,-4.034393311,"I consent, begin the study",5d418b25e5c62d0019f7d3d5,25,100,100,50,100,50,50,0,99,76,23,94,45,62,0,50,50,77,74,100,18,50,91,100,100,100,100,100,100,20,0,0,100,90,21,100,100,25,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,50,66
272,07/04/2020 10:28,R_OHXOS4IR58GxIqt,51.36819458,-0.402297974,"I consent, begin the study",5c7d71f29e0396001674411d,81,97,50,60,30,50,40,22,39,38,8,50,50,50,50,50,59,76,73,86,50,56,37,70,70,84,50,50,50,40,39,50,50,71,50,38,50,28,Male,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,41,64
285,07/04/2020 10:28,R_3PLIyBpVJUCkVIP,51.897995,-0.633804321,"I consent, begin the study",5d0913ff65eb3400019cc1d8,77,83,76,58,79,83,56,75,75,59,91,70,59,76,67,65,76,34,65,74,88,60,89,76,65,79,55,70,81,18,64,2,61,72,23,100,75,38,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,82,75
227,07/04/2020 10:28,R_24CnhVzY0mKpHgW,51.52389526,0.576400757,"I consent, begin the study",5ac7606f9534ba0001c75a07,81,81,100,100,100,94,23,95,100,12,85,93,86,96,83,11,100,100,12,100,92,11,92,100,16,100,78,60,87,1,7,0,100,100,97,100,100,45,Female,UK,,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,50,89
249,07/04/2020 10:29,R_CgKfaT3C0aKnVDP,51.49639893,-0.122406006,"I consent, begin the study",5b09c184e9270900013b830b,75,90,91,84,92,100,100,100,80,70,90,83,71,74,90,80,96,79,80,94,100,90,100,82,81,94,80,60,90,81,65,0,83,90,30,70,71,23,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,0,20
374,07/04/2020 10:29,R_1gRBxGKgCWqoeED,51.19529724,-0.786804199,"I consent, begin the study",5aeb6f1e23e2ca0001974556,90,100,36,73,95,7,24,93,70,77,30,90,95,86,68,63,75,27,90,92,100,92,100,99,74,96,70,95,72,1,80,0,60,13,77,100,22,22,Male,UK,,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,39,83
335,07/04/2020 10:29,R_2QAQOJuLslqGwIx,51.58929443,-2.993103027,"I consent, begin the study",5df252f758a5c71603afc39a,100,100,10,20,0,30,70,100,10,10,0,50,50,50,90,90,100,92,92,100,20,20,0,97,97,100,49,49,40,0,10,0,70,90,0,100,98,23,Female,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,3,45
296,07/04/2020 10:29,R_1DNj7e9Ae2LTkuq,52.99760437,-2.916107178,"I consent, begin the study",59d8c480b656e70001226266,71,82,90,90,94,69,80,91,28,82,98,92,93,93,94,94,98,93,76,98,100,100,100,92,93,99,91,95,96,19,0,0,82,82,81,67,57,58,Male,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,64,80
335,07/04/2020 10:29,R_1gbG8Yxd7TpZlAi,55.86700439,-4.26210022,"I consent, begin the study",5bde2b2eee652a0001f03b43,100,100,70,70,30,50,81,82,0,80,10,85,100,80,100,100,100,100,100,100,60,70,100,100,100,100,50,50,70,30,30,50,81,100,80,80,100,24,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,45,60
365,07/04/2020 10:30,R_3feHRdxUioM5jvp,52.67370605,-2.031295776,"I consent, begin the study",59a5ebc5e08a880001238fcb,19,71,70,84,28,90,91,91,100,100,37,92,93,74,50,40,78,82,55,89,90,93,40,91,71,95,71,10,71,22,50,0,31,30,80,84,86,65,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,50,90
504,07/04/2020 10:30,R_cAXoOOr418AZxXb,53.64779663,-1.781005859,"I consent, begin the study",5cb6f38ffdc7fa0013f809a3,100,100,30,20,0,5,10,0,0,100,100,70,5,0,80,90,100,100,100,100,20,35,0,80,90,100,70,90,0,0,0,60,100,100,91,10,60,64,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,10,90
357,07/04/2020 10:30,R_3knewKg8S0RZzbp,54.96629333,-1.609298706,"I consent, begin the study",5c9164d10791df0001366ab9,88,89,76,86,93,14,90,89,16,90,90,83,83,89,94,93,93,94,90,97,83,90,89,92,88,90,94,91,96,26,17,6,93,88,75,100,97,64,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,85,66
262,07/04/2020 10:30,R_3lQUb1BECqHe81n,55.90249634,-4.108505249,"I consent, begin the study",5dd11840d690721b2469a344,77,92,36,50,31,61,42,24,35,24,11,62,28,12,60,31,19,72,68,50,38,22,5,78,79,97,47,31,24,31,33,23,64,65,63,17,75,43,Male,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,17,47
303,07/04/2020 10:30,R_1pSVHV2lCGVyke1,51.48049927,-0.011306763,"I consent, begin the study",5d6ceebc7832980016762f85,70,80,91,15,55,65,15,60,75,15,60,85,20,55,80,35,65,80,20,75,95,10,70,60,25,75,80,55,70,30,40,60,50,60,40,30,35,25,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,100,60
395,07/04/2020 10:31,R_1DveV617SsOSHIs,53.43670654,-2.965194702,"I consent, begin the study",5c45951f3526c80001fcfb27,60,80,81,79,19,84,87,34,40,20,80,84,79,76,51,51,70,85,72,83,79,78,20,79,78,86,80,82,21,62,74,0,78,82,79,82,74,33,Female,UK,,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,63,70
195,07/04/2020 10:31,R_3g5TKvO23mPvbAr,51.45309448,-0.013793945,"I consent, begin the study",582f0dd06119600001dcf932,76,100,50,49,24,99,97,98,20,21,12,71,71,37,100,85,98,84,78,94,93,98,63,100,80,100,50,50,50,0,0,0,91,81,60,100,89,33,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,26,21
268,07/04/2020 10:31,R_1pSBroTYUF0rdTc,52.19599915,-1.138397217,"I consent, begin the study",5e1ce57f26689407759a56e3,91,100,94,77,31,75,100,100,53,53,46,87,100,100,100,100,100,100,100,100,82,82,100,100,100,100,58,58,68,0,72,0,73,56,0,82,74,26,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,53,37
393,07/04/2020 10:31,R_3DkgBzgh5dabdTM,53.41419983,-2.227996826,"I consent, begin the study", 5d090903f3d3580001fad989,29,84,80,89,34,80,90,49,82,93,27,60,70,82,61,78,100,60,73,100,81,89,18,71,78,100,79,90,100,29,69,94,81,100,18,100,73,63,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,28,40
320,07/04/2020 10:31,R_2E5B1yNudCCrsAo,54.38330078,-6.333297729,"I consent, begin the study",5e5e7bf7b5968c19b461ad63,20,71,84,14,85,97,89,99,81,23,82,74,48,74,74,54,95,80,20,83,91,69,96,83,58,94,67,22,67,36,74,13,77,75,86,94,68,38,Female,UK,,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,50,76
271,07/04/2020 10:31,R_20P9047OtO4tarc,53.26669312,-0.449996948,"I consent, begin the study",5d002470f4534000181d5e09,56,72,34,81,100,27,76,5,26,86,9,39,28,100,84,42,94,81,57,94,87,42,88,81,60,100,16,100,17,0,0,0,100,100,96,99,73,19,Male,UK,,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,61,86
507,07/04/2020 10:31,R_1diuuVfzU1xXRhN,51.92219543,-2.05090332,"I consent, begin the study",5e314a217cbf7413171c88a8,20,50,100,100,10,80,100,10,50,90,10,100,100,60,50,50,90,50,10,60,80,90,60,80,50,75,10,100,50,70,100,0,80,0,100,10,10,43,Female,UK,,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,75,30
371,07/04/2020 10:31,R_2yme659OmpsquhM,52.90440369,-1.23260498,"I consent, begin the study",5e2c6aab2f20ff28894e04f9,60,86,85,92,65,93,82,95,26,36,14,67,14,14,81,85,85,95,90,97,76,90,69,91,90,97,72,21,21,25,26,0,81,95,61,19,63,31,Female,UK,,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,26,85
847,07/04/2020 10:32,R_12s9alev66Lkrhl,51.48309326,-0.164596558,"I consent, begin the study",591cbb59b8ea4b00012ccdf8,100,100,5,92,2,74,75,89,75,70,10,8,14,71,100,100,100,87,100,100,61,86,97,100,100,100,80,100,100,0,50,0,50,20,0,100,0,34,Female,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,50,60
363,07/04/2020 10:32,R_Rq3Oa0ZOwbTykpj,51.86590576,-2.2059021,"I consent, begin the study",5e262190061ea8871307a27c,70,100,70,100,100,0,61,80,40,80,60,80,80,90,70,70,80,40,60,80,100,60,90,80,80,100,9,80,80,30,50,0,70,30,20,10,60,21,Male,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,70,20
354,07/04/2020 10:32,R_3rMQYJh4PE9ShTy,51.456604,-0.968002319,"I consent, begin the study",5c5e2aa16ad0f00001cc189b,70,80,30,50,50,40,50,52,10,33,14,20,60,20,55,60,65,81,90,80,55,65,30,89,75,81,80,70,20,15,50,0,50,60,60,20,50,21,Male,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,35,80
364,07/04/2020 10:32,R_2zqlLpW9tsByKgU,50.83450317,-0.186004639,"I consent, begin the study",5e67d1cf7702c2053e1ac3af,100,100,30,20,16,0,0,0,0,0,0,20,10,6,100,100,100,100,100,100,29,0,5,100,100,100,87,95,96,10,0,10,100,100,100,61,100,23,Female,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,9,75
612,07/04/2020 10:32,R_2leQvFSRibLLhtf,53.28790283,-1.288101196,"I consent, begin the study",5e1a6afc388ec92e8386ad9a,62,93,40,64,35,82,70,87,58,54,16,73,57,22,95,95,100,90,82,100,72,77,89,100,90,100,95,95,95,20,20,0,90,90,70,80,80,48,Male,UK,,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,55,65
393,07/04/2020 10:32,R_3n7yQud34mQrPyf,51.60270691,-0.17199707,"I consent, begin the study",5c57b82eb7cf140001d3b287,100,100,20,20,40,5,15,0,5,5,0,20,20,10,100,75,100,100,100,100,100,50,50,90,75,100,50,50,25,0,0,0,100,90,2,10,2,23,Male,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,55,40
1159,07/04/2020 10:32,R_0PL2hC3lIMSfLGx,51.47250366,-0.386901855,"I consent, begin the study",5daf81364860f70017f711f5,63,84,96,95,35,60,63,61,77,93,31,90,81,100,73,60,87,59,61,63,90,82,66,74,74,87,73,73,75,17,32,13,70,56,85,100,76,30,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,40,66
511,07/04/2020 10:32,R_aWecuLfmsN8QIZX,51.73350525,-0.587493896,"I consent, begin the study",5e492a59c3298c3922d13ef5,100,100,50,80,10,30,85,20,10,35,5,10,10,10,100,100,100,100,100,100,50,50,10,100,100,100,100,100,20,0,0,0,100,100,10,100,90,43,Female,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,50,90
263,07/04/2020 10:32,R_3xBNoYwA3S0WJ6p,55.57119751,-2.701904297,"I consent, begin the study",5c77d0f62cfc0000160c1958,29,39,67,80,85,92,92,97,28,61,63,63,56,70,63,56,64,28,72,85,80,62,76,75,73,86,18,69,85,18,62,0,59,72,64,75,75,54,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,23,78
248,07/04/2020 10:32,R_1pSu67V3F2h5Jwx,53.39750671,-2.920593262,"I consent, begin the study",570d1b455e51560009fe222d,60,50,60,50,59,63,67,57,53,58,47,73,71,58,50,60,65,56,64,82,69,63,81,69,72,83,50,50,50,48,42,0,50,82,30,77,53,40,Male,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,69,0
284,07/04/2020 10:32,R_xbHbwmubRRpVAch,53.38609314,-2.259902954,"I consent, begin the study",5e394c33255e7a14d628e047,75,92,67,100,88,75,100,78,74,85,64,100,100,100,52,80,86,100,100,100,100,100,66,100,100,100,80,100,100,19,29,0,76,87,76,66,66,33,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,50,60
539,07/04/2020 10:32,R_xz9WIDEbuS0hSsp,52.90440369,-1.23260498,"I consent, begin the study",5a33fa26db3d8c00013ebdca,90,100,92,97,14,29,62,31,66,38,3,80,100,18,9,63,81,68,78,100,88,31,94,90,68,100,60,82,100,2,34,0,69,27,10,93,76,32,Female,UK,,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,90,97
