age,Ethnicity..Simplified.,Highest.education.level.completed,Household.Income..USD...US.participants.only.,Sex,ideo,pid,ts_1,ts_2,ts_3,ts_4,ts_5,ts_6,ts_7,nfclosure_1,nfclosure_2,nfclosure_3,nfclosure_4,nfclosure_5,nfclosure_6,auth1,auth2,auth3,auth4,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,sdo_7,sdo_8,pb_1,pb_2,pb_3,pb_4,pb_5,pb_6,panic_b,gov_effect_1,gov_effect_2,gov_effect_3,seri_you_1.x,State,range,Number_of_cases_in_their_state,community.transmision,nfcl2_1,nfcl2_2,nfcl2_3,nfcl2_4,nfcl2_5,nfcl2_6,nfcl2_7,nfcl2_8,nfcl2_9,NaID_1,NaID_2,NaID_3,NaID_4,RaceID_1,RaceID_2,RaceID_3,RaceID_4,nfcog_1,nfcog_2,nfcog_3,nfcog_4,nfcog_5,nfcog_6,seri_you_1.y,covid_consp_1,covid_consp_2,covid_consp_3,pb_w2_1,pb_w2_2,pb_w2_3,pb_w2_4,pb_w2_5,pb_w2_6
39,Black,Undergraduate degree (BA/BSc/other),$50000–$59999,Female,4,3,5,1,2,2,2,3,2,3,4,4,2,3,6,1,2,1,1,2,2,6,7,5,6,5,6,3,3,1,1,3,1,1,3,7,5,4,Maryland,101 to 500,349,"Yes, widespread",5,3,6,2,5,5,3,5,2,2,6,2,6,2,5,2,5,3,4,2,2,3,3,3,1,1,1,3,3,1,2,4,1
27,White,Undergraduate degree (BA/BSc/other),$90000–$99999,Male,6,6,3,4,4,5,4,2,4,3,2,2,4,3,2,1,2,2,2,5,5,3,4,2,5,3,4,3,2,3,1,4,4,2,2,1,1,2,New Jersey,1001 to 5000,3675,"Yes, defined area(s)",1,2,4,3,2,4,3,4,2,4,3,5,4,4,3,5,3,4,5,1,2,5,5,2,2,2,1,3,2,2,1,3,3
42,White,Undergraduate degree (BA/BSc/other),$90000–$99999,Male,2,2,2,5,3,3,2,2,1,5,6,5,5,6,5,1,2,1,1,1,2,1,2,1,2,2,1,3,4,1,2,5,5,2,3,6,4,2,Connecticut,501 to 1000,618,"Yes, widespread",6,7,3,1,2,5,6,7,5,3,4,5,3,4,4,5,3,5,4,1,1,5,4,3,1,1,1,3,4,1,4,3,4
27,White,High school diploma/A-levels,$16000–$19999,Female,5,4,6,1,3,1,1,6,2,1,2,2,1,2,1,2,2,1,1,1,1,7,7,7,1,7,7,3,3,1,3,3,4,2,2,2,2,1,Tennessee,501 to 1000,667,"Yes, defined area(s)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,White,High school diploma/A-levels,$30000–$39999,Male,2,3,5,2,1,2,1,6,2,2,2,2,2,1,1,1,1,2,2,5,5,3,2,4,4,4,5,4,NA,1,3,3,1,2,6,6,5,5,Arkansas,101 to 500,230,"Yes, defined area(s)",5,1,3,2,3,6,1,7,6,7,7,7,7,7,7,7,7,3,3,4,3,3,4,4,4,3,3,3,2,1,3,4,1
27,Other,Undergraduate degree (BA/BSc/other),$60000–$69999,Female,1,4,3,4,3,5,4,3,3,3,6,2,2,4,3,1,2,1,1,1,1,7,7,1,1,7,7,3,3,1,2,2,2,1,1,5,2,1,Washington,1001 to 5000,2469,Yes (defined area or widespread),6,2,4,3,3,6,2,6,3,6,6,3,5,6,2,6,3,4,5,1,2,5,4,1,1,1,1,2,4,1,1,1,2
29,White,No formal qualifications,$10000–$15999,Male,1,1,6,4,3,2,1,4,2,2,2,2,3,4,4,1,2,2,1,1,1,7,7,1,1,7,7,3,1,1,4,2,1,1,2,5,6,3,Kansas,51 to 100,98,Undetermined,4,4,4,3,3,3,3,6,3,2,4,2,4,2,4,2,4,2,2,2,4,3,3,1,1,1,1,2,2,1,2,1,1
24,White,Undergraduate degree (BA/BSc/other),$20000–$29999,Female,7,6,6,5,4,1,1,6,1,1,2,1,1,1,3,2,2,2,2,7,6,4,6,7,7,1,1,1,1,1,1,1,1,1,7,7,1,1,South Carolina,101 to 500,342,"Yes, defined area(s)",2,3,3,1,1,2,3,2,1,6,2,6,2,6,2,6,2,1,2,4,4,2,3,1,3,4,1,1,1,1,1,1,1
35,White,Technical/community college,$30000–$39999,Male,4,3,2,5,4,5,4,2,6,3,2,2,2,2,1,2,1,2,2,2,2,6,3,2,2,5,5,3,3,2,3,2,4,2,5,5,1,3,Arizona,101 to 500,326,"Yes, widespread",1,2,5,2,2,2,2,2,3,3,6,3,6,3,6,2,6,2,2,4,4,2,2,3,1,2,2,3,2,2,2,2,4
19,White,High school diploma/A-levels,$60000–$69999,Male,8,7,6,2,1,1,1,6,1,1,1,1,1,1,1,2,2,1,2,1,1,7,7,1,1,7,7,5,3,2,5,4,1,2,7,7,4,4,Wisconsin,101 to 500,457,"Yes, defined area(s)",1,1,1,1,3,3,1,7,1,1,7,1,7,1,7,1,7,1,1,5,5,1,1,5,4,1,1,3,1,1,3,3,1
37,White,Undergraduate degree (BA/BSc/other),$10000–$15999,Female,2,4,6,1,1,1,1,6,1,1,1,2,1,2,2,1,2,1,1,1,1,7,7,1,1,7,6,3,3,1,2,3,1,1,1,2,5,1,Colorado,501 to 1000,921,"Yes, widespread",6,6,6,1,2,3,6,7,1,4,3,4,5,5,2,5,5,4,1,3,4,3,2,1,1,1,1,4,4,1,1,4,1
37,White,Technical/community college,$60000–$69999,Female,1,4,5,2,2,4,2,5,1,3,3,1,5,4,1,1,2,1,1,1,1,7,7,1,1,7,7,3,1,1,1,1,1,1,2,5,6,1,Oregon,101 to 500,209,"Yes, widespread",6,1,6,2,4,7,1,6,5,5,7,1,5,2,7,2,7,3,5,1,1,5,5,1,1,1,1,4,4,1,2,2,1
24,Asian,Undergraduate degree (BA/BSc/other),$10000–$15999,Female,1,3,5,1,2,3,1,4,2,3,4,2,3,2,2,2,2,1,1,1,1,5,7,3,1,7,6,1,1,1,NA,1,1,1,3,5,3,3,California,1001 to 5000,2511,"Yes, widespread",4,1,4,2,3,4,1,6,6,2,5,5,5,7,1,7,1,4,2,2,3,4,3,3,1,2,1,2,3,1,1,2,1
29,White,High school diploma/A-levels,$30000–$39999,Female,7,6,5,3,1,2,3,5,3,4,6,5,4,3,4,2,2,1,1,5,4,4,3,5,4,3,5,3,2,1,3,2,1,2,3,5,6,2,Indiana,101 to 500,365,Undetermined,2,4,3,3,3,4,4,5,3,3,4,4,4,4,5,3,4,4,4,2,3,4,4,1,4,4,4,4,3,1,2,2,1
28,White,High school diploma/A-levels,Less than $10000,Male,8,7,1,6,6,6,6,1,6,7,7,7,1,1,1,2,2,2,1,4,4,4,4,4,4,4,4,5,5,1,2,5,2,1,7,7,1,1,Pennsylvania,501 to 1000,851,"Yes, defined area(s)",4,4,7,1,1,1,3,4,3,4,3,6,2,4,1,4,4,4,5,1,5,5,5,2,4,4,1,3,4,3,3,5,2
41,White,Undergraduate degree (BA/BSc/other),$70000–$79999,Female,5,4,5,3,3,2,2,4,2,5,5,3,6,5,3,2,2,2,2,1,1,7,7,7,1,7,7,2,1,1,1,2,1,2,2,5,5,1,Ohio,501 to 1000,564,Undetermined,5,5,6,3,2,2,6,6,3,2,6,2,6,1,7,1,7,4,4,2,2,4,4,1,2,2,3,2,1,1,1,2,1
27,Black,High school diploma/A-levels,$90000–$99999,Male,4,4,4,6,4,5,2,3,3,4,5,2,4,6,4,1,2,2,1,4,4,5,5,4,2,5,6,3,3,4,2,4,4,1,4,4,3,4,North Carolina,501 to 1000,504,"Yes, widespread",7,4,6,3,4,5,4,6,4,3,5,2,4,5,3,2,4,3,4,2,2,3,3,3,4,2,4,2,2,2,2,2,2
31,White,Undergraduate degree (BA/BSc/other),$10000–$15999,Female,6,5,4,5,5,2,3,5,4,1,2,3,3,3,3,1,2,2,2,5,5,3,5,7,3,3,3,5,5,2,5,5,1,1,2,1,1,7,Texas,501 to 1000,715,Undetermined,2,3,3,1,2,3,1,3,1,3,3,2,3,2,5,3,5,1,1,5,4,2,2,7,7,6,7,5,3,1,2,2,1
44,White,Undergraduate degree (BA/BSc/other),$60000–$69999,Male,2,2,4,3,3,4,2,4,3,2,4,3,3,2,3,1,2,1,1,2,1,6,6,2,2,6,6,4,3,1,3,4,2,2,1,6,5,1,North Carolina,501 to 1000,504,"Yes, widespread",3,3,4,3,4,5,3,5,3,2,6,2,6,2,6,2,6,3,4,2,2,4,4,2,1,1,1,4,2,1,3,4,2
26,White,High school diploma/A-levels,$70000–$79999,Female,1,1,5,2,3,4,1,4,1,3,3,2,5,2,3,2,2,1,1,2,2,6,6,3,2,5,6,4,2,1,3,2,2,2,1,5,4,3,Wisconsin,101 to 500,457,"Yes, defined area(s)",5,6,4,4,1,2,5,3,2,1,7,1,7,1,7,1,7,3,4,2,2,4,3,5,4,4,4,4,2,1,3,3,3
42,White,High school diploma/A-levels,$10000–$15999,Male,5,4,4,3,2,4,1,3,1,2,3,3,3,2,3,1,2,2,1,2,1,2,7,3,4,6,6,2,2,1,2,2,1,3,6,4,3,1,Oregon,101 to 500,209,"Yes, widespread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,1
28,White,High school diploma/A-levels,$10000–$15999,Male,7,6,5,2,2,2,2,5,2,1,2,1,1,1,2,2,1,2,2,2,2,6,6,2,2,6,6,4,4,1,3,3,1,2,3,1,1,1,New York,5001 or more,26358,Yes (defined area or widespread),2,1,5,2,3,3,1,6,2,6,2,6,2,6,1,6,1,2,2,4,4,2,2,1,1,1,1,4,3,1,4,5,4
29,Asian,Technical/community college,$60000–$69999,Female,1,1,5,3,3,3,2,4,3,3,3,3,4,3,2,1,2,2,1,1,7,7,1,7,1,7,7,3,3,1,3,3,3,2,4,4,7,1,Texas,501 to 1000,715,Undetermined,4,2,2,2,2,3,3,6,2,4,4,4,4,5,3,6,2,4,4,2,2,4,4,1,1,4,4,3,3,1,3,3,2
21,White,High school diploma/A-levels,$10000–$15999,Male,2,4,5,3,1,4,3,4,2,3,3,4,4,5,3,1,2,1,1,3,5,5,4,3,4,7,7,2,1,3,2,1,3,1,3,3,5,3,Pennsylvania,501 to 1000,851,"Yes, defined area(s)",6,4,6,3,2,6,4,7,3,2,6,2,6,2,5,2,6,2,2,3,2,2,3,3,2,2,1,3,2,4,3,2,5
44,White,Undergraduate degree (BA/BSc/other),$20000–$29999,Female,2,2,6,2,2,1,1,5,1,2,2,1,3,2,1,1,2,1,1,1,1,6,7,3,1,7,7,1,1,1,1,1,1,1,2,6,6,1,Pennsylvania,501 to 1000,851,"Yes, defined area(s)",3,1,2,2,3,5,1,5,2,5,1,6,1,6,1,6,1,2,2,3,4,1,2,1,1,1,1,1,1,1,1,1,1
28,White,High school diploma/A-levels,$30000–$39999,Male,6,5,4,3,3,3,3,4,3,3,3,3,3,4,5,2,1,2,1,5,4,4,4,5,5,4,4,1,1,1,1,1,1,1,4,5,4,7,California,1001 to 5000,2511,"Yes, widespread",5,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,2,4,4,4,6,6,2,7,1,1,1,1,1,1
26,Asian,Undergraduate degree (BA/BSc/other),$40000–$49999,Male,2,2,5,3,2,3,2,4,2,2,3,2,4,4,3,1,2,2,1,3,3,6,3,5,5,6,6,3,1,1,2,1,1,2,5,5,5,2,Illinois,1001 to 5000,1535,"Yes, widespread",3,2,6,3,5,4,3,4,4,5,3,5,3,6,2,5,3,2,3,2,4,4,3,2,1,1,1,3,2,1,2,2,1
30,Asian,Undergraduate degree (BA/BSc/other),$80000–$89999,Male,1,1,5,2,1,2,1,4,1,3,2,1,1,1,1,2,1,2,2,1,1,7,7,1,1,7,7,5,5,1,5,5,1,2,1,2,2,1,New York,5001 or more,26358,Yes (defined area or widespread),4,3,4,2,2,3,2,6,4,3,3,5,3,3,3,5,4,4,4,2,2,4,4,1,1,2,2,3,3,1,5,5,3
32,White,Undergraduate degree (BA/BSc/other),More than $150000,Male,5,4,5,5,6,5,2,3,3,3,2,3,5,1,2,2,1,2,2,5,3,5,5,7,6,2,5,1,1,1,1,1,1,1,3,5,2,3,New Jersey,1001 to 5000,3675,"Yes, defined area(s)",5,3,2,1,1,3,2,6,3,2,6,2,6,1,5,1,6,4,4,2,1,4,2,3,6,3,1,1,1,1,1,1,1
55,White,Graduate degree (MA/MSc/MPhil/other),$30000–$39999,Female,7,6,5,3,2,2,2,3,2,2,3,2,2,3,2,2,2,2,1,5,5,5,5,5,5,5,5,3,2,2,2,2,1,1,6,6,5,1,Tennessee,501 to 1000,667,"Yes, defined area(s)",3,2,3,2,2,5,3,5,3,6,2,6,2,6,2,6,2,2,4,2,2,4,4,1,1,1,1,1,1,1,1,1,1
26,White,Undergraduate degree (BA/BSc/other),$90000–$99999,Male,6,2,5,5,4,4,4,3,4,3,3,3,5,3,3,2,2,1,1,2,1,1,7,2,1,7,7,4,2,3,3,3,4,2,5,5,5,1,Massachusetts,1001 to 5000,1159,"Yes, widespread",5,3,7,2,3,5,2,7,5,5,3,5,3,6,3,7,1,4,5,1,5,5,4,1,4,4,4,4,3,4,3,5,5
58,White,Technical/community college,$50000–$59999,Male,7,6,3,4,6,5,1,2,3,2,2,2,2,2,2,2,1,2,2,1,1,NA,7,7,4,4,7,4,3,1,4,4,1,1,6,6,4,1,Kansas,51 to 100,98,Undetermined,6,2,2,4,4,4,4,2,2,6,2,6,2,6,2,6,2,2,1,4,3,5,3,1,6,4,1,1,1,1,3,1,1
26,White,Undergraduate degree (BA/BSc/other),$100000–$149999,Male,1,1,5,3,2,3,2,2,2,3,3,3,4,4,3,1,2,2,1,2,1,2,6,2,2,6,6,1,4,1,1,3,1,1,5,7,4,1,New York,5001 or more,26358,Yes (defined area or widespread),6,2,4,2,6,4,2,6,5,6,2,6,2,1,4,4,4,4,4,2,1,4,2,1,1,1,1,1,4,1,1,3,1
24,White,High school diploma/A-levels,$20000–$29999,Male,5,4,3,3,4,5,2,4,2,5,6,2,6,6,1,1,2,2,1,2,1,6,6,4,4,5,6,1,2,1,1,1,1,1,5,6,6,3,California,1001 to 5000,2511,"Yes, widespread",7,1,7,2,6,6,1,3,4,1,7,1,7,1,7,1,7,2,1,1,5,1,1,4,1,1,1,2,2,1,1,1,1
34,White,Graduate degree (MA/MSc/MPhil/other),More than $150000,Male,6,4,4,5,4,6,3,1,2,6,4,6,6,4,2,2,1,2,1,1,1,4,4,7,4,4,7,2,1,1,1,1,1,1,6,6,5,1,Texas,501 to 1000,715,Undetermined,2,4,6,4,6,6,4,6,6,2,6,2,6,2,6,2,6,4,5,1,2,5,5,2,1,1,1,1,1,1,1,1,1
29,White,Undergraduate degree (BA/BSc/other),$60000–$69999,Male,8,7,2,5,5,5,4,4,2,2,5,3,2,3,2,2,1,1,1,1,1,6,NA,7,7,2,7,2,1,1,1,1,1,1,5,5,1,6,Idaho,51 to 100,71,"Yes, defined area(s)",6,1,2,2,3,6,2,3,2,7,2,6,2,6,2,6,2,5,4,1,2,4,5,6,5,6,1,2,2,1,1,1,1
39,White,Undergraduate degree (BA/BSc/other),$60000–$69999,Male,6,4,6,2,3,1,3,6,2,2,1,2,1,1,2,2,1,1,1,2,3,4,4,5,2,5,6,3,1,1,2,4,1,2,2,2,1,1,Michigan,1001 to 5000,1791,"Yes, defined area(s)",3,3,5,4,2,2,3,6,2,2,5,1,5,1,5,1,5,2,2,3,4,3,2,1,4,3,2,3,1,1,2,4,1
66,White,Technical/community college,$30000–$39999,Female,4,3,5,3,3,5,6,4,6,3,3,4,2,3,3,1,2,2,1,1,1,7,7,1,1,7,7,2,1,1,1,4,3,2,1,1,2,1,Florida,1001 to 5000,1373,"Yes, defined area(s)",5,2,6,4,5,6,2,2,4,4,3,5,4,4,3,4,2,2,2,5,4,2,2,2,1,1,1,2,1,1,2,2,2
34,White,Graduate degree (MA/MSc/MPhil/other),$100000–$149999,Male,5,2,2,5,5,4,3,4,3,4,5,5,4,4,3,2,1,1,1,6,5,2,4,3,2,6,5,4,5,2,4,4,3,2,3,4,1,1,Arizona,101 to 500,326,"Yes, widespread",6,5,7,4,5,6,4,5,6,5,4,3,3,5,5,4,3,4,4,2,1,4,4,2,6,4,4,3,5,1,3,4,4
29,White,Doctorate degree (PhD/other),More than $150000,Male,7,7,5,5,1,5,2,2,2,3,6,3,3,2,5,2,2,1,1,6,5,2,6,6,6,2,6,3,4,1,1,1,3,3,7,5,2,5,Michigan,1001 to 5000,1791,"Yes, defined area(s)",2,6,2,3,3,3,3,6,6,6,2,2,2,2,6,2,6,4,5,1,1,4,5,6,5,5,1,2,4,1,3,3,3
43,White,Graduate degree (MA/MSc/MPhil/other),More than $150000,Female,6,5,3,5,4,4,3,2,3,3,3,2,3,3,2,2,2,2,1,1,1,6,7,4,3,6,6,2,2,1,1,2,1,2,3,3,5,2,North Carolina,501 to 1000,504,"Yes, widespread",3,2,4,2,2,5,2,5,3,2,6,2,5,2,6,2,6,4,3,1,2,4,4,3,1,1,1,3,2,1,2,2,1
26,White,Technical/community college,$60000–$69999,Male,2,2,3,4,3,4,4,3,2,4,4,5,5,4,3,1,1,2,2,1,1,7,7,3,2,4,6,2,2,1,3,3,1,1,2,5,4,1,California,1001 to 5000,2511,"Yes, widespread",2,3,6,2,4,5,4,5,4,5,3,5,2,5,3,6,4,2,4,2,2,4,4,1,1,1,1,4,3,1,3,3,1
54,White,Technical/community college,$10000–$15999,Male,5,7,5,2,2,3,3,3,2,3,3,2,4,4,3,2,2,1,1,2,2,5,5,3,4,5,5,3,2,1,3,4,1,1,7,7,2,7,Florida,1001 to 5000,1373,"Yes, defined area(s)",4,3,6,2,4,5,3,5,3,6,6,6,4,4,4,4,3,4,4,2,3,4,4,7,1,7,1,2,2,1,3,3,1
40,White,Technical/community college,More than $150000,Female,5,6,5,4,2,3,3,2,4,2,3,2,2,2,2,1,2,1,1,3,3,6,5,6,4,6,7,3,2,3,3,4,4,2,1,1,1,1,Texas,501 to 1000,715,Undetermined,5,5,7,3,3,5,3,4,5,3,3,1,4,3,3,3,3,4,4,4,2,4,4,2,7,6,4,1,1,1,1,1,1
30,Other,Graduate degree (MA/MSc/MPhil/other),$90000–$99999,Female,2,2,4,4,5,4,4,2,4,3,3,5,5,4,3,1,2,1,1,1,1,7,6,1,1,6,6,3,4,1,3,1,1,2,2,6,6,2,California,1001 to 5000,2511,"Yes, widespread",5,3,7,2,2,6,3,2,6,2,5,4,4,2,4,3,3,4,4,1,1,4,3,1,1,1,1,NA,NA,NA,NA,NA,NA
40,White,Technical/community college,$20000–$29999,Female,2,2,5,2,2,5,2,5,4,3,2,3,4,4,3,1,2,1,1,2,1,7,6,2,2,7,7,3,2,1,3,2,1,2,2,5,5,1,Vermont,51 to 100,95,"Yes, defined area(s)",6,3,6,4,3,6,3,4,4,3,6,2,6,3,6,2,6,4,4,2,2,4,4,2,2,2,2,3,2,1,3,3,1
33,White,Doctorate degree (PhD/other),More than $150000,Male,2,3,5,3,2,2,2,4,2,2,4,3,3,5,4,1,2,1,1,2,2,5,4,4,3,NA,5,1,2,1,1,1,1,1,2,4,2,1,New York,5001 or more,26358,Yes (defined area or widespread),5,2,4,3,4,5,3,5,3,2,6,2,6,2,6,2,6,4,4,2,2,4,3,2,1,1,1,2,2,1,1,1,1
27,White,Undergraduate degree (BA/BSc/other),$50000–$59999,Male,2,2,3,3,3,3,3,3,4,2,3,2,6,2,2,1,2,1,2,4,1,7,7,1,1,7,7,4,3,1,1,3,1,2,1,3,4,1,California,1001 to 5000,2511,"Yes, widespread",4,2,6,3,4,4,1,6,4,7,1,7,1,7,1,7,1,4,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1
44,White,Undergraduate degree (BA/BSc/other),$80000–$89999,Female,5,4,4,3,2,3,3,2,5,2,3,3,4,2,3,2,2,1,1,2,2,5,7,7,1,7,7,4,4,1,4,4,1,1,6,6,7,3,Kentucky,101 to 500,163,Undetermined,6,3,3,3,2,5,3,4,5,4,4,5,5,3,3,3,3,4,4,1,2,4,4,4,1,1,1,2,3,1,2,3,1
57,White,Technical/community college,$50000–$59999,Female,7,6,5,4,3,3,1,4,2,3,2,1,2,2,1,2,2,2,1,1,1,7,7,1,1,7,7,2,3,1,2,2,1,2,7,7,5,1,Kentucky,101 to 500,163,Undetermined,6,5,5,4,5,5,2,5,3,2,4,3,5,2,5,2,5,1,2,1,1,4,2,4,4,5,1,2,2,1,1,1,1
67,White,Graduate degree (MA/MSc/MPhil/other),$20000–$29999,Female,4,3,3,4,4,4,4,3,3,3,3,4,3,3,3,1,2,1,1,1,1,7,7,1,1,7,7,3,2,1,2,2,1,2,1,6,2,1,Michigan,1001 to 5000,1791,"Yes, defined area(s)",3,3,4,3,5,5,3,4,3,3,5,3,5,3,5,3,5,4,4,2,2,4,4,1,2,2,2,3,3,1,3,3,1
33,Mixed,Undergraduate degree (BA/BSc/other),$100000–$149999,Male,1,3,3,6,4,4,3,2,3,6,6,3,6,4,6,1,2,1,1,1,1,7,7,2,1,7,7,4,5,4,3,5,3,1,1,3,2,1,Alabama,101 to 500,242,"Yes, defined area(s)",6,5,7,3,2,5,3,6,6,1,7,1,7,1,5,5,3,5,4,1,1,5,4,1,1,1,1,4,4,3,2,4,3
34,White,High school diploma/A-levels,$90000–$99999,Female,7,6,5,3,3,4,1,2,2,1,3,2,4,2,2,2,1,2,2,4,4,6,4,4,4,4,6,3,2,1,3,3,1,1,6,6,2,1,West Virginia,6 to 50,39,"Yes, defined area(s)",6,1,3,2,2,3,2,6,2,2,6,7,7,2,4,3,4,4,4,2,2,4,4,1,4,1,1,1,1,1,1,1,1
22,Asian,Undergraduate degree (BA/BSc/other),Less than $10000,Female,1,2,6,1,1,2,1,6,1,3,4,2,6,3,4,2,2,1,1,1,1,7,7,1,1,7,7,3,1,1,2,2,1,2,2,1,3,1,Texas,501 to 1000,715,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,2,1
24,White,Undergraduate degree (BA/BSc/other),$70000–$79999,Female,5,4,6,2,2,2,2,6,2,1,2,2,2,2,4,2,2,2,1,1,1,7,4,4,4,4,4,4,3,1,3,4,1,2,1,6,5,1,Colorado,501 to 1000,921,"Yes, widespread",3,4,3,2,6,5,4,3,2,1,7,1,7,1,7,1,7,2,2,3,4,4,2,1,4,4,4,3,3,1,3,3,2
45,White,Undergraduate degree (BA/BSc/other),$80000–$89999,Male,5,4,4,4,3,4,3,3,3,2,3,3,5,4,4,1,2,1,1,4,3,6,5,5,3,6,6,2,3,1,3,3,1,1,3,5,3,2,Minnesota,101 to 500,287,"Yes, defined area(s)",5,4,6,4,5,5,4,5,5,3,5,3,5,3,6,3,5,3,4,2,2,3,3,2,2,2,2,2,2,1,2,2,1
33,White,High school diploma/A-levels,$16000–$19999,Female,2,2,6,1,3,3,2,6,2,1,3,2,3,3,1,1,2,1,1,1,1,7,7,2,1,6,7,4,3,1,3,2,1,2,2,6,4,1,Oregon,101 to 500,209,"Yes, widespread",2,2,4,2,3,4,2,3,3,4,6,6,4,2,6,1,6,2,1,4,4,3,2,1,2,2,1,NA,NA,NA,NA,NA,NA
58,White,High school diploma/A-levels,$10000–$15999,Female,6,5,2,2,4,4,4,4,2,4,4,5,7,6,3,2,1,1,1,4,1,7,7,4,5,5,7,3,4,1,2,4,3,2,3,6,1,1,New York,5001 or more,26358,Yes (defined area or widespread),5,2,7,2,3,7,1,6,5,4,3,5,4,1,4,4,5,3,4,1,3,4,3,1,4,1,1,3,3,1,3,3,1
50,White,Undergraduate degree (BA/BSc/other),$40000–$49999,Male,6,5,5,1,1,2,2,5,2,2,3,3,2,3,2,1,2,2,1,2,2,1,5,4,4,5,7,1,1,1,1,1,1,1,3,5,1,2,Maine,101 to 500,118,"Yes, defined area(s)",5,3,4,5,6,6,3,5,4,3,4,3,5,3,5,3,4,2,4,1,2,5,5,2,2,1,1,2,2,2,2,2,1
24,White,Undergraduate degree (BA/BSc/other),$100000–$149999,Female,4,3,3,1,2,2,1,3,1,3,2,2,3,2,3,1,2,1,1,3,1,6,7,3,1,6,7,3,2,1,3,2,1,1,2,3,3,1,California,1001 to 5000,2511,"Yes, widespread",5,5,4,2,3,3,3,5,3,2,5,3,5,2,6,2,6,4,3,2,2,3,4,1,3,2,2,4,3,1,4,2,1
23,Asian,Undergraduate degree (BA/BSc/other),$60000–$69999,Male,6,5,NA,5,5,5,4,3,3,5,3,5,4,5,2,2,2,2,1,6,4,4,5,4,6,4,5,4,4,1,2,4,1,2,5,6,5,5,California,1001 to 5000,2511,"Yes, widespread",5,3,3,5,4,3,5,4,5,6,3,4,3,5,2,2,2,4,4,2,4,2,4,6,5,3,4,NA,NA,NA,NA,NA,NA
53,White,Undergraduate degree (BA/BSc/other),$60000–$69999,Male,7,6,1,5,6,5,4,2,6,3,5,5,2,6,3,1,2,1,1,2,1,5,7,5,6,1,5,2,1,1,1,1,1,1,5,6,1,1,Louisiana,1001 to 5000,1388,"Yes, defined area(s)",7,3,7,3,5,5,3,5,6,1,7,1,7,1,7,1,7,4,5,1,4,5,4,1,1,1,1,3,1,1,3,2,1
69,White,Undergraduate degree (BA/BSc/other),$10000–$15999,Male,5,4,6,2,1,6,1,1,1,3,2,3,2,2,4,2,2,1,1,4,1,7,7,3,4,5,7,2,1,1,1,1,1,1,6,6,6,2,New Jersey,1001 to 5000,3675,"Yes, defined area(s)",6,5,6,2,5,5,3,5,4,3,5,3,4,5,3,5,3,4,4,2,1,4,4,1,5,6,1,2,2,1,1,1,1
61,White,Undergraduate degree (BA/BSc/other),$60000–$69999,Female,6,3,6,1,2,1,1,6,1,1,2,1,4,1,1,2,2,2,1,1,1,7,7,6,7,2,7,3,1,4,1,4,4,2,5,5,2,1,Ohio,501 to 1000,564,Undetermined,2,1,3,2,3,5,1,1,2,1,6,2,6,2,5,2,6,4,4,2,4,4,2,1,2,1,1,1,1,5,1,4,5
38,White,High school diploma/A-levels,$30000–$39999,Female,8,7,4,1,1,3,1,4,1,1,1,1,4,3,1,2,1,2,1,5,4,3,3,7,7,1,1,2,2,1,1,2,1,2,7,6,1,1,California,1001 to 5000,2511,"Yes, widespread",3,1,3,1,1,2,1,5,1,7,1,7,1,2,6,2,6,3,4,2,3,2,3,1,4,4,1,1,1,1,1,1,1
44,Black,High school diploma/A-levels,$30000–$39999,Female,5,4,3,4,4,5,1,2,3,3,5,2,2,3,3,2,2,2,2,5,5,7,6,3,3,5,6,3,2,1,4,3,1,1,5,6,6,3,Texas,501 to 1000,715,Undetermined,5,2,5,3,2,5,2,3,2,6,2,6,2,5,2,5,2,4,4,1,2,4,4,3,2,2,1,4,3,1,4,3,1
43,White,Graduate degree (MA/MSc/MPhil/other),$90000–$99999,Female,8,7,6,2,3,2,1,4,2,2,6,1,3,2,2,2,2,1,1,4,2,6,6,7,5,4,6,3,1,1,3,3,1,2,6,6,7,1,Texas,501 to 1000,715,Undetermined,2,5,6,1,5,4,3,3,1,2,5,6,5,2,5,2,5,4,2,2,2,1,4,1,1,1,1,2,2,1,1,3,1
33,White,Undergraduate degree (BA/BSc/other),$40000–$49999,Male,8,7,5,2,3,3,1,2,2,2,2,4,2,3,2,1,1,1,1,6,6,2,6,7,7,2,7,3,2,1,1,1,1,1,2,2,1,6,New Jersey,1001 to 5000,3675,"Yes, defined area(s)",6,2,5,2,2,4,2,6,3,6,2,6,2,2,2,6,2,3,4,2,2,4,2,6,5,4,1,2,2,1,1,1,1
